Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
abkupfern,kupfere ab,kupferst ab,kupfert ab,kupferte ab,abgekupfert,kupferte ab,kupfere ab,kupfert ab,haben
beinhalten,beinhalte,beinhaltest,beinhaltet,beinhaltete,beinhaltet,beinhaltete,beinhalte,beinhaltet,haben
lärmen,lärme,lärmst,lärmt,lärmte,gelärmt,lärmte,lärme,lärmt,haben
gewittern,—,—,gewittert,gewitterte,gewittert,gewitterte,—,—,haben
altern,altere,alterst,altert,alterte,gealtert,alterte,altere,altert,sein
quadrieren,quadriere,quadrierst,quadriert,quadrierte,quadriert,quadrierte,quadriere,quadriert,haben
abspecken,specke ab,speckst ab,speckt ab,speckte ab,abgespeckt,speckte ab,speck ab,speckt ab,haben
hungern,hungere,hungerst,hungert,hungerte,gehungert,hungerte,hungere,hungert,haben
verhungern,verhungere,verhungerst,verhungert,verhungerte,verhungert,verhungerte,verhungere,verhungert,sein
aushungern,hungere aus,hungerst aus,hungert aus,hungerte aus,ausgehungert,hungerte aus,hungere aus,hungert aus,haben
puschen,pusche,puschst,puscht,puschte,gepuscht,puschte,pusch,puscht,haben
lizenzieren,lizenziere,lizenzierst,lizenziert,lizenzierte,lizenziert,lizenzierte,lizenziere,lizenziert,haben
harnen,harne,harnst,harnt,harnte,geharnt,harnte,harn,harnt,haben
modern,modere,moderst,modert,moderte,gemodert,moderte,modere,modert,haben
erpressen,erpresse,erpresst,erpresst,erpresste,erpresst,erpresste,erpress,erpresst,haben
ermorden,ermorde,ermordest,ermordet,ermordete,ermordet,ermordete,ermorde,ermordet,haben
ergaunern,ergaunere,ergaunerst,ergaunert,ergaunerte,ergaunert,ergaunerte,ergaunere,ergaunert,haben
überlisten,überliste,überlistest,überlistet,überlistete,überlistet,überlistete,überliste,überlistet,haben
verhaften,verhafte,verhaftest,verhaftet,verhaftete,verhaftet,verhaftete,verhafte,verhaftet,haben
verlinken,verlinke,verlinkst,verlinkt,verlinkte,verlinkt,verlinkte,verlinke,verlinkt,haben
chiffrieren,chiffriere,chiffrierst,chiffriert,chiffrierte,chiffriert,chiffrierte,chiffriere,chiffriert,haben
dechiffrieren,dechiffriere,dechiffrierst,dechiffriert,dechiffrierte,dechiffriert,dechiffrierte,dechiffriere,dechiffriert,haben
stampfen,stampfe,stampfst,stampft,stampfte,gestampft,stampfte,stampf,stampft,haben
schalten,schalte,schaltest,schaltet,schaltete,geschaltet,schaltete,schalt,schaltet,haben
füsilieren,füsiliere,füsilierst,füsiliert,füsilierte,füsiliert,füsilierte,füsiliere,füsiliert,haben
vierteilen,vierteile,vierteilst,vierteilt,vierteilte,viergeteilt,vierteilte,vierteil,vierteilt,haben
erdolchen,erdolche,erdolchst,erdolcht,erdolchte,erdolcht,erdolchte,erdolche,erdolcht,haben
vergiften,vergifte,vergiftest,vergiftet,vergiftete,vergiftet,vergiftete,vergift,vergiftet,haben
wiederbeleben,belebe wieder,belebst wieder,belebt wieder,belebte wieder,wiederbelebt,belebte wieder,beleb wieder,belebt wieder,haben
rühmen,rühme,rühmst,rühmt,rühmte,gerühmt,rühmte,rühm,rühmt,haben
retuschieren,retuschiere,retuschierst,retuschiert,retuschierte,retuschiert,retuschierte,retuschiere,retuschiert,haben
touchieren,touchiere,touchierst,touchiert,touchierte,touchiert,touchierte,touchiere,touchiert,haben
trepanieren,trepaniere,trepanierst,trepaniert,trepanierte,trepaniert,trepanierte,trepaniere,trepaniert,haben
parlieren,parliere,parlierst,parliert,parlierte,parliert,parlierte,parliere,parliert,haben
konversieren,konversiere,konversierst,konversiert,konversierte,konversiert,konversierte,konversier,konversiert,haben
konkurrieren,konkurriere,konkurrierst,konkurriert,konkurrierte,konkurriert,konkurrierte,konkurriere,konkurriert,haben
präzisieren,präzisiere,präzisierst,präzisiert,präzisierte,präzisiert,präzisierte,präzisier,präzisiert,haben
lamentieren,lamentiere,lamentierst,lamentiert,lamentierte,lamentiert,lamentierte,lamentiere,lamentiert,haben
düpieren,düpiere,düpierst,düpiert,düpierte,düpiert,düpierte,düpiere,düpiert,haben
offerieren,offeriere,offerierst,offeriert,offerierte,offeriert,offerierte,offeriere,offeriert,haben
schildern,schildere,schilderst,schildert,schilderte,geschildert,schilderte,schildere,schildert,haben
schwächeln,schwächle,schwächelst,schwächelt,schwächelte,geschwächelt,schwächelte,schwächle,schwächelt,haben
betrinken,betrinke,betrinkst,betrinkt,betrank,betrunken,betränke,betrink,betrinkt,haben
improvisieren,improvisiere,improvisierst,improvisiert,improvisierte,improvisiert,improvisierte,improvisiere,improvisiert,haben
polemisieren,polemisiere,polemisierst,polemisiert,polemisierte,polemisiert,polemisierte,polemisier,polemisiert,haben
reinigen,reinige,reinigst,reinigt,reinigte,gereinigt,reinigte,reinig,reinigt,haben
kommerzialisieren,kommerzialisiere,kommerzialisierst,kommerzialisiert,kommerzialisierte,kommerzialisiert,kommerzialisierte,kommerzialisiere,kommerzialisiert,haben
streiken,streike,streikst,streikt,streikte,gestreikt,streikte,streik,streikt,haben
diskutieren,diskutiere,diskutierst,diskutiert,diskutierte,diskutiert,diskutierte,diskutier,diskutiert,haben
duellieren,duelliere,duellierst,duelliert,duellierte,duelliert,duellierte,duellier,duelliert,haben
testieren,testiere,testierst,testiert,testierte,testiert,testierte,testier,testiert,haben
jodeln,jodele,jodelst,jodelt,jodelte,gejodelt,jodelte,jodle,jodelt,haben
herunterladen,lade herunter,lädst herunter,lädt herunter,lud herunter,heruntergeladen,lüde herunter,lade herunter,ladet herunter,haben
kritteln,krittle,krittelst,krittelt,krittelte,gekrittelt,krittelte,krittle,krittelt,haben
peinigen,peinige,peinigst,peinigt,peinigte,gepeinigt,peinigte,peinig,peinigt,haben
abhängen,hänge ab,hängst ab,hängt ab,hing ab,abgehangen,hinge ab,häng ab,hängt ab,haben
wispern,wispere,wisperst,wispert,wisperte,gewispert,wisperte,wisper,wispert,haben
repatriieren,repatriiere,repatriierst,repatriiert,repatriierte,repatriiert,repatriierte,repatriiere,repatriiert,haben
Vorlage:Formatvorlage (Verb vereinfacht),fühle,fühlst,fühlt,fühlte,gefühlt,fühlte,fühl,fühlt,haben
christianisieren,christianisiere,christianisierst,christianisiert,christianisierte,christianisiert,christianisierte,christianisiere,christianisiert,haben
inthronisieren,inthronisiere,inthronisierst,inthronisiert,inthronisierte,inthronisiert,inthronisierte,inthronisiere,inthronisiert,haben
verscherbeln,verscherble,verscherbelst,verscherbelt,verscherbelte,verscherbelt,verscherbelte,verscherble,verscherbelt,haben
bramarbasieren,bramarbasiere,bramarbasierst,bramarbasiert,bramarbasierte,bramarbasiert,bramarbasierte,bramarbasiere,bramarbasiert,haben
filzen,filze,filzt,filzt,filzte,gefilzt,filzte,filze,filzt,haben
einpflegen,pflege ein,pflegst ein,pflegt ein,pflegte ein,eingepflegt,pflegte ein,pfleg ein,pflegt ein,haben
ketteln,kettele,kettelst,kettelt,kettelte,gekettelt,kettelte,kettele,kettelt,haben
foulen,foule,foulst,foult,foulte,gefoult,foulte,foul,foult,haben
erinnern,erinnere,erinnerst,erinnert,erinnerte,erinnert,erinnerte,erinnere,erinnert,haben
erwerben,erwerbe,erwirbst,erwirbt,erwarb,erworben,erwürbe,erwirb,erwerbt,haben
aufdecken,decke auf,deckst auf,deckt auf,deckte auf,aufgedeckt,deckte auf,deck auf,deckt auf,haben
verdanken,verdanke,verdankst,verdankt,verdankte,verdankt,verdankte,verdank,verdankt,haben
aufhalten,halte auf,hältst auf,hält auf,hielt auf,aufgehalten,hielte auf,halte auf,haltet auf,haben
glaren,glare,glarst,glart,glarte,geglart,glarte,glare,glart,haben
quetschen,quetsche,quetschst,quetscht,quetschte,gequetscht,quetschte,quetsch,quetscht,haben
girieren,giriere,girierst,giriert,girierte,giriert,girierte,girier,giriert,haben
bluten,blute,blutest,blutet,blutete,geblutet,blutete,blute,blutet,haben
veräppeln,veräppele,veräppelst,veräppelt,veräppelte,veräppelt,veräppelte,veräppele,veräppelt,haben
vagieren,vagiere,vagierst,vagiert,vagierte,vagiert,vagierte,vagiere,vagiert,haben
kapieren,kapiere,kapierst,kapiert,kapierte,kapiert,kapierte,kapiere,kapiert,haben
flehen,flehe,flehst,fleht,flehte,gefleht,flehte,flehe,fleht,haben
furagieren,furagiere,furagierst,furagiert,furagierte,furagiert,furagierte,furagiere,furagiert,haben
ausbüxen,büxe aus,büxt aus,büxt aus,büxte aus,ausgebüxt,büxte aus,büx aus,büxt aus,sein
ruinieren,ruiniere,ruinierst,ruiniert,ruinierte,ruiniert,ruinierte,ruinier,ruiniert,haben
vereiteln,vereitle,vereitelst,vereitelt,vereitelte,vereitelt,vereitelte,vereitle,vereitelt,haben
hinzufügen,füge hinzu,fügst hinzu,fügt hinzu,fügte hinzu,hinzugefügt,fügte hinzu,füg hinzu,fügt hinzu,haben
besiegeln,besiegele,besiegelst,besiegelt,besiegelte,besiegelt,besiegelte,besiegele,besiegelt,haben
besiegen,besiege,besiegst,besiegt,besiegte,besiegt,besiegte,besieg,besiegt,haben
approbieren,approbiere,approbierst,approbiert,approbierte,approbiert,approbierte,approbier,approbiert,haben
anästhesieren,anästhesiere,anästhesierst,anästhesiert,anästhesierte,anästhesiert,anästhesierte,anästhesiere,anästhesiert,haben
obsiegen,obsiege,obsiegst,obsiegt,obsiegte,obsiegt,obsiegte,obsieg,obsiegt,haben
alterieren,alteriere,alterierst,alteriert,alterierte,alteriert,alterierte,alteriere,alteriert,haben
alimentieren,alimentiere,alimentierst,alimentiert,alimentierte,alimentiert,alimentierte,alimentiere,alimentiert,haben
pönalisieren,pönalisiere,pönalisierst,pönalisiert,pönalisierte,pönalisiert,pönalisierte,pönalisiere,pönalisiert,haben
gaffen,gaffe,gaffst,gafft,gaffte,gegafft,gaffte,gaff,gafft,haben
gängeln,gängele,gängelst,gängelt,gängelte,gegängelt,gängelte,gängele,gängelt,haben
gräzisieren,gräzisiere,gräzisierst,gräzisiert,gräzisierte,gräzisiert,gräzisierte,gräzisier,gräzisiert,haben
heiligen,heilige,heiligst,heiligt,heiligte,geheiligt,heiligte,heilig,heiligt,haben
anpassen,passe an,passt an,passt an,passte an,angepasst,passte an,pass an,passt an,haben
zucken,zucke,zuckst,zuckt,zuckte,gezuckt,zuckte,zucke,zuckt,haben
grinsen,grinse,grinst,grinst,grinste,gegrinst,grinste,grinse,grinst,haben
wünschen,wünsche,wünschst,wünscht,wünschte,gewünscht,wünschte,wünsche,wünscht,haben
mausern,mausere,mauserst,mausert,mauserte,gemausert,mauserte,mausere,mausert,haben
kitzeln,kitzele,kitzelst,kitzelt,kitzelte,gekitzelt,kitzelte,kitzele,kitzelt,haben
planen,plane,planst,plant,plante,geplant,plante,plane,plant,haben
flüstern,flüstere,flüsterst,flüstert,flüsterte,geflüstert,flüsterte,flüstere,flüstert,haben
opalisieren,opalisiere,opalisierst,opalisiert,opalisierte,opalisiert,opalisierte,opalisiere,opalisiert,haben
rächen,räche,rächst,rächt,rächte,gerächt,rächte,räche,rächt,haben
verfluchen,verfluche,verfluchst,verflucht,verfluchte,verflucht,verfluchte,verfluch,verflucht,haben
chartern,chartere,charterst,chartert,charterte,gechartert,charterte,chartere,chartert,haben
paralysieren,paralysiere,paralysierst,paralysiert,paralysierte,paralysiert,paralysierte,paralysiere,paralysiert,haben
gackern,gackere,gackerst,gackert,gackerte,gegackert,gackerte,gackere,gackert,haben
dilettieren,dilettiere,dilettierst,dilettiert,dilettierte,dilettiert,dilettierte,dilettiere,dilettiert,haben
dorren,dorre,dorrst,dorrt,dorrte,gedorrt,dorrte,dorre,dorrt,sein
dörren,dörre,dörrst,dörrt,dörrte,gedörrt,dörrte,dörre,dörrt,haben
ejakulieren,ejakuliere,ejakulierst,ejakuliert,ejakulierte,ejakuliert,ejakulierte,ejakuliere,ejakuliert,haben
konsultieren,konsultiere,konsultierst,konsultiert,konsultierte,konsultiert,konsultierte,konsultiere,konsultiert,haben
realisieren,realisiere,realisierst,realisiert,realisierte,realisiert,realisierte,realisiere,realisiert,haben
picheln,pichele,pichelst,pichelt,pichelte,gepichelt,pichelte,pichel,pichelt,haben
plempern,plempere,plemperst,plempert,plemperte,geplempert,plemperte,plempere,plempert,haben
panaschieren,panaschiere,panaschierst,panaschiert,panaschierte,panaschiert,panaschierte,panaschiere,panaschiert,haben
kumulieren,kumuliere,kumulierst,kumuliert,kumulierte,kumuliert,kumulierte,kumuliere,kumuliert,haben
metabolisieren,metabolisiere,metabolisierst,metabolisiert,metabolisierte,metabolisiert,metabolisierte,metabolisiere,metabolisiert,haben
verstoffwechseln,verstoffwechsele,verstoffwechselst,verstoffwechselt,verstoffwechselte,verstoffwechselt,verstoffwechselte,verstoffwechsele,verstoffwechselt,haben
terminieren,terminiere,terminierst,terminiert,terminierte,terminiert,terminierte,terminiere,terminiert,haben
erlöschen,erlösche,erlischst,erlischt,erlosch,erloschen,erlösche,erlisch,erlöscht,sein
sedieren,sediere,sedierst,sediert,sedierte,sediert,sedierte,sedier,sediert,haben
instrumentalisieren,instrumentalisiere,instrumentalisierst,instrumentalisiert,instrumentalisierte,instrumentalisiert,instrumentalisierte,instrumentalisiere,instrumentalisiert,haben
flennen,flenne,flennst,flennt,flennte,geflennt,flennte,flenne,flennt,haben
zurückkehren,kehre zurück,kehrst zurück,kehrt zurück,kehrte zurück,zurückgekehrt,kehrte zurück,kehre zurück,kehrt zurück,sein
einkästen,käste ein,kästest ein,kästet ein,kästete ein,eingekästet,kästete ein,käste ein,kästet ein,haben
einkästeln,kästele ein,kästelst ein,kästelt ein,kästelte ein,eingekästelt,kästelte ein,kästele ein,kästelt ein,haben
firnen,firne,firnst,firnt,firnte,gefirnt,firnte,firne,firnet,haben
küren,küre,kürst,kürt,kürte,gekürt,kürte,küre,kürt,haben
campen,campe,campst,campt,campte,gecampt,campte,camp,campt,haben
bezahlen,bezahle,bezahlst,bezahlt,bezahlte,bezahlt,bezahlte,bezahle,bezahlt,haben
trischakeln,trischakele,trischakelst,trischakelt,trischakelte,getrischakelt,trischakelte,trischakele,trischakelt,haben
erstaunen,erstaune,erstaunst,erstaunt,erstaunte,erstaunt,erstaunte,erstaun,erstaunt,haben
wuseln,wusele,wuselst,wuselt,wuselte,gewuselt,wuselte,wusele,wuselt,haben
rammeln,rammele,rammelst,rammelt,rammelte,gerammelt,rammelte,rammle,rammelt,haben
erfassen,erfasse,erfasst,erfasst,erfasste,erfasst,erfasste,erfasse,erfasst,haben
inkubieren,inkubiere,inkubierst,inkubiert,inkubierte,inkubiert,inkubierte,inkubier,inkubiert,haben
propagieren,propagiere,propagierst,propagiert,propagierte,propagiert,propagierte,propagiere,propagiert,haben
joggen,jogge,joggst,joggt,joggte,gejoggt,joggte,jogge,joggt,haben
aufnehmen,nehme auf,nimmst auf,nimmt auf,nahm auf,aufgenommen,nähme auf,nimm auf,nehmt auf,haben
absenden,sende ab,sendest ab,sendet ab,sendete ab,abgesendet,sendete ab,send ab,sendet ab,haben
verstecken,verstecke,versteckst,versteckt,versteckte,versteckt,versteckte,verstecke,versteckt,haben
schmadern,schmadere,schmaderst,schmadert,schmaderte,geschmadert,schmaderte,schmadere,schmadert,haben
üben,übe,übst,übt,übte,geübt,übte,üb,übt,haben
triangulieren,trianguliere,triangulierst,trianguliert,triangulierte,trianguliert,triangulierte,triangulier,trianguliert,haben
zerstreuen,zerstreue,zerstreust,zerstreut,zerstreute,zerstreut,zerstreute,zerstreue,zerstreut,haben
schönreden,rede schön,redest schön,redet schön,redete schön,schöngeredet,redete schön,red schön,redet schön,haben
füllen,fülle,füllst,füllt,füllte,gefüllt,füllte,fülle,füllt,haben
fluoreszieren,fluoresziere,fluoreszierst,fluoresziert,fluoreszierte,fluoresziert,fluoreszierte,fluoreszier,fluoresziert,haben
leiten,leite,leitest,leitet,leitete,geleitet,leitete,leite,leitet,haben
schmähen,schmähe,schmähst,schmäht,schmähte,geschmäht,schmähte,schmähe,schmäht,haben
gießen,gieße,gießt,gießt,goss,gegossen,gösse,gieße,gießt,haben
erschweren,erschwere,erschwerst,erschwert,erschwerte,erschwert,erschwerte,erschwer,erschwert,haben
florieren,floriere,florierst,floriert,florierte,floriert,florierte,floriere,floriert,haben
fingieren,fingiere,fingierst,fingiert,fingierte,fingiert,fingierte,fingiere,fingiert,haben
flanieren,flaniere,flanierst,flaniert,flanierte,flaniert,flanierte,flaniere,flaniert,haben
flottieren,flottiere,flottierst,flottiert,flottierte,flottiert,flottierte,flottiere,flottiert,haben
beißen,beiße,beißt,beißt,biss,gebissen,bisse,beiße,beißt,haben
zerstören,zerstöre,zerstörst,zerstört,zerstörte,zerstört,zerstörte,zerstöre,zerstört,haben
umstellen,umstelle,umstellst,umstellt,umstellte,umstellt,umstellte,umstelle,umstellt,haben
husten,huste,hustest,hustet,hustete,gehustet,hustete,huste,hustet,haben
pellen,pelle,pellst,pellt,pellte,gepellt,pellte,pell,pellt,haben
austarieren,tariere aus,tarierst aus,tariert aus,tarierte aus,austariert,tarierte aus,tarier aus,tariert aus,haben
kitten,kitte,kittest,kittet,kittete,gekittet,kittete,kitte,kittet,haben
schimmern,schimmere,schimmerst,schimmert,schimmerte,geschimmert,schimmerte,schimmer,schimmert,haben
huldigen,huldige,huldigst,huldigt,huldigte,gehuldigt,huldigte,huldige,huldigt,haben
gestalten,gestalte,gestaltest,gestaltet,gestaltete,gestaltet,gestaltete,gestalt,gestaltet,haben
entwerfen,entwerfe,entwirfst,entwirft,entwarf,entworfen,entwürfe,entwirf,entwerft,haben
entfesseln,entfessele,entfesselst,entfesselt,entfesselte,entfesselt,entfesselte,entfessele,entfesselt,haben
befruchten,befruchte,befruchtest,befruchtet,befruchtete,befruchtet,befruchtete,befrucht,befruchtet,haben
klassieren,klassiere,klassierst,klassiert,klassierte,klassiert,klassierte,klassier,klassiert,haben
sautieren,sautiere,sautierst,sautiert,sautierte,sautiert,sautierte,sautier,sautiert,haben
herstellen,stelle her,stellst her,stellt her,stellte her,hergestellt,stellte her,stell her,stellt her,haben
klopfen,klopfe,klopfst,klopft,klopfte,geklopft,klopfte,klopf,klopft,haben
einsetzen,setze ein,setzt ein,setzt ein,setzte ein,eingesetzt,setzte ein,setze ein,setzt ein,haben
widerlegen,widerlege,widerlegst,widerlegt,widerlegte,widerlegt,widerlegte,widerlege,widerlegt,haben
mitzählen,zähle mit,zählst mit,zählt mit,zählte mit,mitgezählt,zählte mit,zähl mit,zählt mit,haben
platzieren,platziere,platzierst,platziert,platzierte,platziert,platzierte,platzier,platziert,haben
harren,harre,harrst,harrt,harrte,geharrt,harrte,harre,harrt,haben
erzürnen,erzürne,erzürnst,erzürnt,erzürnte,erzürnt,erzürnte,erzürn,erzürnt,haben
ondulieren,onduliere,ondulierst,onduliert,ondulierte,onduliert,ondulierte,onduliere,onduliert,haben
dopen,dope,dopst,dopt,dopte,gedopt,dopte,dope,dopt,haben
fläzen,fläze,fläzt,fläzt,fläzte,gefläzt,fläzte,fläze,fläzt,haben
benehmen,benehme,benimmst,benimmt,benahm,benommen,benähme,benimm,benehmt,haben
aufgehen,gehe auf,gehst auf,geht auf,ging auf,aufgegangen,ginge auf,geh auf,geht auf,sein
behalten,behalte,behältst,behält,behielt,behalten,behielte,behalte,behaltet,haben
ahnen,ahne,ahnst,ahnt,ahnte,geahnt,ahnte,ahne,ahnt,haben
dicht machen,mache dicht,machst dicht,macht dicht,machte dicht,dicht gemacht,machte dicht,mach dicht,macht dicht,haben
dichtmachen,mache dicht,machst dicht,macht dicht,machte dicht,dichtgemacht,machte dicht,mach dicht,macht dicht,haben
tasten,taste,tastest,tastet,tastete,getastet,tastete,tast,tastet,haben
schnarchen,schnarche,schnarchst,schnarcht,schnarchte,geschnarcht,schnarchte,schnarche,schnarcht,haben
tippen,tippe,tippst,tippt,tippte,getippt,tippte,tipp,tippt,haben
negoziieren,negoziiere,negoziierst,negoziiert,negoziierte,negoziiert,negoziierte,negoziier,negoziiert,haben
stieben,stiebe,stiebst,stiebt,stob,gestoben,stöbe,stiebe,stiebt,sein
malträtieren,malträtiere,malträtierst,malträtiert,malträtierte,malträtiert,malträtierte,malträtiere,malträtiert,haben
nottun,—,—,tut not,tat not,notgetan,täte not,—,—,haben
iterieren,iteriere,iterierst,iteriert,iterierte,iteriert,iterierte,iterier,iteriert,haben
verbrämen,verbräme,verbrämst,verbrämt,verbrämte,verbrämt,verbrämte,verbräme,verbrämt,haben
aufwachsen,wachse auf,wächst auf,wächst auf,wuchs auf,aufgewachsen,wüchse auf,wachse auf,wachst auf,sein
bestätigen,bestätige,bestätigst,bestätigt,bestätigte,bestätigt,bestätigte,bestätige,bestätigt,haben
äsen,äse,äst,äst,äste,geäst,äste,äse,äst,haben
verbinden,verbinde,verbindest,verbindet,verband,verbunden,verbände,verbinde,verbindet,haben
zustimmen,stimme zu,stimmst zu,stimmt zu,stimmte zu,zugestimmt,stimmte zu,stimme zu,stimmt zu,haben
domestizieren,domestiziere,domestizierst,domestiziert,domestizierte,domestiziert,domestizierte,domestiziere,domestiziert,haben
entnehmen,entnehme,entnimmst,entnimmt,entnahm,entnommen,entnähme,entnimm,entnehmt,haben
auslaufen,laufe aus,läufst aus,läuft aus,lief aus,ausgelaufen,liefe aus,lauf aus,lauft aus,sein
ballestern,ballester,ballesterst,ballestert,ballesterte,ballestert,ballesterte,ballester,ballestert,haben
kalfatern,kalfatere,kalfaterst,kalfatert,kalfaterte,kalfatert,kalfaterte,kalfatere,kalfatert,haben
ausziehen,ziehe aus,ziehst aus,zieht aus,zog aus,ausgezogen,zöge aus,zieh aus,zieht aus,sein
wählen,wähle,wählst,wählt,wählte,gewählt,wählte,wähle,wählt,haben
spenden,spende,spendest,spendet,spendete,gespendet,spendete,spende,spendet,haben
verjagen,verjage,verjagst,verjagt,verjagte,verjagt,verjagte,verjag,verjagt,haben
überraschen,überrasche,überraschst,überrascht,überraschte,überrascht,überraschte,überrasche,überrascht,haben
vergleichen,vergleiche,vergleichst,vergleicht,verglich,verglichen,vergliche,vergleich,vergleicht,haben
rinnen,rinne,rinnst,rinnt,rann,geronnen,ränne,rinn,rinnt,sein
verrecken,verrecke,verreckst,verreckt,verreckte,verreckt,verreckte,verrecke,verreckt,sein
kontrollieren,kontrolliere,kontrollierst,kontrolliert,kontrollierte,kontrolliert,kontrollierte,kontrolliere,kontrolliert,haben
traversieren,traversiere,traversierst,traversiert,traversierte,traversiert,traversierte,traversiere,traversiert,haben
abbremsen,bremse ab,bremst ab,bremst ab,bremste ab,abgebremst,bremste ab,brems ab,bremst ab,haben
abziehen,ziehe ab,ziehst ab,zieht ab,zog ab,abgezogen,zöge ab,ziehe ab,zieht ab,haben
abgeben,gebe ab,gibst ab,gibt ab,gab ab,abgegeben,gäbe ab,gib ab,gebt ab,haben
vereinfachen,vereinfache,vereinfachst,vereinfacht,vereinfachte,vereinfacht,vereinfachte,vereinfach,vereinfacht,haben
fangen,fange,fängst,fängt,fing,gefangen,finge,fang,fangt,haben
skypen,skype,skypst,skypt,skypte,geskypt,skypte,skyp,skypt,haben
verschmähen,verschmähe,verschmähst,verschmäht,verschmähte,verschmäht,verschmähte,verschmäh,verschmäht,haben
abdichten,dichte ab,dichtest ab,dichtet ab,dichtete ab,abgedichtet,dichtete ab,dichte ab,dichtet ab,haben
abdienen,diene ab,dienst ab,dient ab,diente ab,abgedient,diente ab,dien ab,dient ab,haben
systematisieren,systematisiere,systematisierst,systematisiert,systematisierte,systematisiert,systematisierte,systematisier,systematisiert,haben
veralten,veralte,veraltest,veraltet,veraltete,veraltet,veraltete,veralte,veraltet,sein
depravieren,depraviere,depravierst,depraviert,depravierte,depraviert,depravierte,depraviere,depraviert,haben
torkeln,torkle,torkelst,torkelt,torkelte,getorkelt,torkelte,torkle,torkelt,haben
blankziehen,ziehe blank,ziehst blank,zieht blank,zog blank,blankgezogen,zöge blank,zieh blank,zieht blank,haben
ablehnen,lehne ab,lehnst ab,lehnt ab,lehnte ab,abgelehnt,lehnte ab,lehne ab,lehnt ab,haben
erigieren,erigiere,erigierst,erigiert,erigierte,erigiert,erigierte,erigiere,erigiert,sein
oszillieren,oszilliere,oszillierst,oszilliert,oszillierte,oszilliert,oszillierte,oszilliere,oszilliert,haben
erlauben,erlaube,erlaubst,erlaubt,erlaubte,erlaubt,erlaubte,erlaube,erlaubt,haben
malmen,malme,malmst,malmt,malmte,gemalmt,malmte,malm,malmt,haben
stechen,steche,stichst,sticht,stach,gestochen,stäche,stich,stecht,haben
benützen,benütze,benützt,benützt,benützte,benützt,benützte,benütze,benützt,haben
einladen,lade ein,lädst ein,lädt ein,lud ein,eingeladen,lüde ein,lade ein,ladet ein,haben
entdecken,entdecke,entdeckst,entdeckt,entdeckte,entdeckt,entdeckte,entdecke,entdeckt,haben
befleißigen,befleißige,befleißigst,befleißigt,befleißigte,befleißigt,befleißigte,befleißig,befleißigt,haben
verlegen,verlege,verlegst,verlegt,verlegte,verlegt,verlegte,verlege,verlegt,haben
erwischen,erwische,erwischst,erwischt,erwischte,erwischt,erwischte,erwische,erwischt,haben
fortfahren,fahre fort,fährst fort,fährt fort,fuhr fort,fortgefahren,führe fort,fahr fort,fahrt fort,sein
schwänzen,schwänze,schwänzt,schwänzt,schwänzte,geschwänzt,schwänzte,schwänze,schwänzt,haben
spazieren gehen,gehe spazieren,gehst spazieren,geht spazieren,ging spazieren,spazieren gegangen,ginge spazieren,geh spazieren,geht spazieren,sein
verknallen,verknalle,verknallst,verknallt,verknallte,verknallt,verknallte,verknall,verknallt,haben
fesseln,fessele,fesselst,fesselt,fesselte,gefesselt,fesselte,fessle,fesselt,haben
ergreifen,ergreife,ergreifst,ergreift,ergriff,ergriffen,ergriffe,ergreife,ergreift,haben
wiederholen,wiederhole,wiederholst,wiederholt,wiederholte,wiederholt,wiederholte,wiederhol,wiederholt,haben
anlachen,lache an,lachst an,lacht an,lachte an,angelacht,lachte an,lach an,lacht an,haben
flirten,flirte,flirtest,flirtet,flirtete,geflirtet,flirtete,flirt,flirtet,haben
vernichten,vernichte,vernichtest,vernichtet,vernichtete,vernichtet,vernichtete,vernichte,vernichtet,haben
aussaugen,sauge aus,saugst aus,saugt aus,sog aus,ausgesogen,söge aus,sauge aus,saugt aus,haben
knallen,knalle,knallst,knallt,knallte,geknallt,knallte,knall,knallt,haben
zuhören,höre zu,hörst zu,hört zu,hörte zu,zugehört,hörte zu,höre zu,hört zu,haben
verpissen,verpisse,verpisst,verpisst,verpisste,verpisst,verpisste,verpiss,verpisst,haben
ankreiden,kreide an,kreidest an,kreidet an,kreidete an,angekreidet,kreidete an,kreide an,kreidet an,haben
spänen,späne,spänst,spänt,spänte,gespänt,spänte,spän,spänt,haben
säugen,säuge,säugst,säugt,säugte,gesäugt,säugte,säuge,säugt,haben
beckmessern,beckmessere,beckmesserst,beckmessert,beckmesserte,gebeckmessert,beckmesserte,beckmessere,beckmessert,haben
markieren,markiere,markierst,markiert,markierte,markiert,markierte,markiere,markiert,haben
behelligen,behellige,behelligst,behelligt,behelligte,behelligt,behelligte,behellige,behelligt,haben
verteilen,verteile,verteilst,verteilt,verteilte,verteilt,verteilte,verteile,verteilt,haben
stänkern,stänkere,stänkerst,stänkert,stänkerte,gestänkert,stänkerte,stänker,stänkert,haben
erzählen,erzähle,erzählst,erzählt,erzählte,erzählt,erzählte,erzähl,erzählt,haben
trennen,trenne,trennst,trennt,trennte,getrennt,trennte,trenne,trennt,haben
abschenken,schenke ab,schenkst ab,schenkt ab,schenkte ab,abgeschenkt,schenkte ab,schenk ab,schenkt ab,haben
schaben,schabe,schabst,schabt,schabte,geschabt,schabte,schabe,schabt,haben
